Field,Range,Description
Odoribacter splanchnicus DSM 20712 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Olsenella ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Olsenella profusa F0195 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Olsenella sp. DNF00959 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Olsenella sp. GAM18 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Olsenella sp. oral taxon 807 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Olsenella sp. oral taxon 807 strain F0089 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Olsenella uli DSM 7084 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Oribacterium asaccharolyticum ACB7 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Oribacterium parvum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Oribacterium parvum ACB1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Oribacterium sinus F0268 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ornithobacterium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ornithobacterium rhinotracheale ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Oscillibacter ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Oscillibacter sp. 1-3 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Oscillibacter sp. ER4 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Oscillibacter sp. KLE 1745 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Oscillibacter sp. PEA192 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Oscillospiraceae bacterium VE202-24 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Oxalobacter formigenes ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Oxalobacter formigenes OXCC13 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Paenarthrobacter sp. YJN-D ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Paenibacillus xylanexedens strain PAMC ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Paeniclostridium sordellii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pannonibacter phragmitetus strain 31801 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pantoea agglomerans ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Paprika mild mottle virus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides distasonis ATCC 8503 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides goldsteinii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides goldsteinii CL02T12C30 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides goldsteinii DSM 19448 = WAL 12034 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides goldsteinii dnLKV18 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides goldsteinii strain 910340 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides gordonii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides gordonii DSM 23371 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides gordonii MS-1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides johnsonii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides johnsonii CL02T12C29 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides johnsonii DSM 18315 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides merdae ATCC 43184 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides merdae CL03T12C32 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides merdae CL09T00C40 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides merdae strain 2789STDY5834848 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides phage YZ-2015a ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides phage YZ-2015b ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides sp. 20_3 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides sp. 2_1_7 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides sp. CT06 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides sp. D13 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides sp. D26 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parabacteroides sp. HGS0025 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
"Parabacteroides sp. Marseille-P3236 strain Marseille-P3236, sp. Marseille-P3136 ","Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
"Parabacteroides sp. SN4 strain SN4, sp. SB4 ","Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Paracoccus yeei ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Paraprevotella ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Paraprevotella clara YIT 11840 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Paraprevotella xylaniphila YIT 11841 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parasutterella excrementihominis YIT 11859 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parolsenella catena ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parvimonas ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parvimonas micra ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parvimonas sp. KA00067 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Parvimonas sp. oral taxon 393 str. F0440 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peanut mottle virus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pediococcus acidilactici D3 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pediococcus argentinicus strain DSM ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pediococcus claussenii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pediococcus pentosaceus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Penicillium chrysogenum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Penicillium polonicum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Penicillium rubens Wisconsin 54-1255 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pepper mild mottle virus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptacetobacter ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptacetobacter hiranonis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptoniphilus grossensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptoniphilus grossensis ph5 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptoniphilus harei ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptoniphilus lacrimalis 315-B ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptoniphilus lacrimalis DSM 7455 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptoniphilus senegalensis JC140 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptoniphilus sp. BV3C26 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptoniphilus sp. ChDC B134 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptoniphilus sp. HMSC062D09 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptoniphilus sp. HMSC075B08 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptoniphilus sp. KHD5 sp. KHD5 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptoniphilus sp. oral taxon 375 str. F0436 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptoniphilus sp. oral taxon 836 str. F0141 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptoniphilus timonensis JC401 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptostreptococcus anaerobius VPI 4330 = DSM 2949 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptostreptococcus anaerobius strain C ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptostreptococcus anaerobius strain MJR8628A ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptostreptococcus sp. MV1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Peptostreptococcus stomatis DSM 17678 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Persea americana chrysovirus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Petrimonas mucosa ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Phascolarctobacterium faecium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Phascolarctobacterium succinatutens YIT 12067 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Phaseolus vulgaris alphaendornavirus 1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Phaseolus vulgaris alphaendornavirus 2 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Phaseolus vulgaris endornavirus 1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Phaseolus vulgaris endornavirus 2 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Phocaeicola ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Phocaeicola coprophilus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Phocea massiliensis strain Marseille-P2769 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Plantactinospora ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Polerovirus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pontibacillus litoralis JSM 072002 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Porphyromonas asaccharolytica DSM 20707 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Porphyromonas bennonis DSM 23058 = JCM 16335 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Porphyromonas endodontalis ATCC 35406 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Porphyromonas gingivalis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Porphyromonas gulae strain COT-052_OH2199 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Porphyromonas levii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Porphyromonas macacae strain COT-192 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Porphyromonas somerae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Porphyromonas somerae DSM 23386 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Porphyromonas sp. HMSC065F10 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Porphyromonas sp. HMSC077F02 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Porphyromonas uenonis 60-3 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Porphyromonas uenonis DSM 23387 = JCM 13868 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella albensis DSM 11370 = JCM 12258 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella baroniae DSM 16972 = JCM 13447 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella bergensis DSM 17361 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella bivia DNF00188 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella bivia DNF00320 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella bivia DNF00650 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella bivia DSM 20514 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella bivia JCVIHMP010 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
